airline,flight_no,dept,arr,dates
AC,001,YYZ,NRT,2026-03-01|2026-03-05|2026-03-10
AC,002,NRT,YYZ,2026-03-02|2026-03-06|2026-03-11
BR,009,YVR,TPE,2026-04-01|2026-04-08
BR,010,TPE,YVR,2026-04-02|2026-04-09
CI,031,YVR,TPE,2026-05-20
JL,017,YVR,NRT,2026-06-15
NH,115,YVR,HND,2026-07-01
DL,123,SEA,LHR,2026-08-10
UA,888,SFO,PEK,2026-09-05
CZ,329,YVR,CAN,2026-10-01
CX,889,YVR,HKG,2026-11-11
KE,072,YVR,ICN,2026-12-05
SQ,027,YVR,SIN,2027-01-15
QF,076,YVR,SYD,2027-02-20
NZ,023,YVR,AKL,2027-03-10
LH,493,YVR,FRA,2027-04-05
BA,084,YVR,LHR,2027-05-12
AF,379,YVR,CDG,2027-06-18
KL,682,YVR,AMS,2027-07-22
FI,696,YVR,KEF,2027-08-30
